id,class_name,start_time,start_time_tag,duration_value,duration_tag,health_club_name,area,address,attendance_mode,sport_catalog,muscle_group,audience_type
c283,Badhuis 2 uur,2022-10-12T17:00:00+02:00,Afternoon,150,Very long,Reloadclub Ladies Only,Oost,Halmaheirastraat 28 1094 RL Amsterdam,Offline,"Dance, Fitness, Mindfulness, Pilates, Wellness, Yoga",Full body,Beginner
c284,Core Flow,2022-10-14T11:00:00+02:00,Morning,60,Normal,Equal Yoga Rozengracht,Centrum,Rozengracht 191 1016 LZ Amsterdam,Offline,"Bbb, Hot yoga, Yoga",Full body,Beginner
c285,Open Fitness,2022-10-17T13:00:00+02:00,Afternoon,60,Normal,Louiszoon Health Club Amsterdam,West,Eliza van Calcarstraat 2 1068 RR Amsterdam,Offline,"Bootcamp, Boxing, Cycling, Dance, Fitness, Pilates, Yoga","Booty, Legs",Beginner
c286,Strength & Cardio Online Workout,2022-10-12T12:00:00+02:00,Morning,45,Normal,BEAT81 - LIVESTREAM,online,Online Class,Online,"Bbb, Bootcamp, Hiit, Other","Booty, Legs",Beginner
c287,Hot Vinyasa Flow,2022-10-17T18:00:00+02:00,Afternoon,60,Normal,Hot Flow Yoga Zuid (Formerly: Hot Flow Yoga Amsterdam),Zuid,Koninginneweg 221 1075 NX Amsterdam,Offline,Hot yoga,Full body,Beginner
c288,Hardlooptraining Beginners,2022-10-15T10:30:00+02:00,Morning,60,Normal,Flow-Motion,West,Kattenlaan 13 1054 KA Amsterdam,Offline,Running,"Arms, Chest, Legs",Beginner
c289,Banenzwemmen (binnen) - 25 meter bad,2022-10-17T17:00:00+02:00,Afternoon,60,Normal,De Mirandabad,Zuid,De Mirandalaan  1079 PA Amsterdam,Offline,Fitness,Full body,Beginner
c290,Open Gym,2022-10-13T13:00:00+02:00,Afternoon,60,Normal,Smart Fit,Oost,Molukkenstraat 200 1098 TW Amsterdam,Offline,"Fitness, Fun",Legs,Beginner
c291,Open Gym,2022-10-15T09:00:00+02:00,Morning,60,Normal,Gympact,West,Postjesweg 128G 1061AX Amsterdam,Offline,"Bbb, Bootcamp, Boxing, Fitness, Hiit, Other",Legs,Beginner
c292,Vrij Klimmen,2022-10-13T11:00:00+02:00,Morning,120,Long,Be Boulder,Zuid,Anthony Fokkerweg 75 1059CP Amsterdam,Offline,"Bouldering, Other",Full body,Beginner
c293,Pole intermediate,2022-10-17T18:30:00+02:00,Afternoon,75,Long,Pole Dance Factory Amsterdam - Oost,Oost,V6  1096 AN Amsterdam,Offline,"Aerial, Dance, Pole dance",Full body,Beginner
c294,Timeslot,2022-10-17T17:00:00+02:00,Afternoon,60,Normal,AmstelGym (formerly: Trend Fitness),Oost,Amstelstroomlaan 2 1096 GL Amsterdam,Offline,"Hiit, Other, Pilates",Full body,Intermediate
c295,Technique training all levels,2022-10-14T18:00:00+02:00,Afternoon,60,Normal,Mejiro Gym,Centrum,Lauriergracht 86 1016 RP Amsterdam,Offline,Martial arts,"Arms, Chest, Legs",Beginner
c296,OPEN GYM,2022-10-17T10:00:00+02:00,Morning,60,Normal,Great Zuid,Zuid,Ruysdaelstraat 88-90 1071XH Amsterdam,Offline,"Barre, Bbb, Boxing, Hiit, Other, Pilates, Yin yoga, Yoga",Legs,Beginner
c297,Butt & Legs Online Workout,2022-10-15T11:00:00+02:00,Morning,45,Normal,BEAT81 - LIVESTREAM,online,Online Class,Online,"Bbb, Bootcamp, Hiit, Other","Booty, Legs",Beginner
c298,Hatha Easy Flow yoga,2022-10-15T10:45:00+02:00,Morning,75,Long,Yoga Spot Buitenveldert,Zuid,Arent Janszoon Ernststraat 665 1082 LG Amsterdam,Offline,"Other, Pilates, Yoga",Full body,Beginner
c299,Ping Pong battle with friends,2022-10-13T16:00:00+02:00,Afternoon,60,Normal,PONG - house of ping,West,Jan van Galenstraat 315 1056 CB Amsterdam,Offline,"Fun, Racket sports",Full body,Beginner
